 mentions, sentiment,sender
[],0.479631484,magazine-montana-cola-lemon
[],0.776810825,magazine-montana-cola-lemon
[],0.798178971,magazine-montana-cola-lemon
[],0.184246913,rainier
[],0.769376874,magazine-montana-cola-lemon
[],0.815834224,rainier
[],0.21309717,magazine-montana-cola-lemon
['black-purple-butter-robin'],0.328491896,rainier
[],0.871656954,magazine-montana-cola-lemon
['black-purple-butter-robin'],0.901261687,rainier
['rainier'],0.966675222,magazine-montana-cola-lemon
"['black-purple-butter-robin', 'magazine-montana-cola-lemon']",0.875573099,rainier
[],0.656509936,magazine-montana-cola-lemon
['comet-single-charlie-leopard'],0.592858911,magazine-montana-cola-lemon
[],0.677243948,rainier
[],0.430052489,rainier
[],0.204607889,magazine-montana-cola-lemon
[],0.563396811,rainier
['rainier'],0.962144732,magazine-montana-cola-lemon
[],0.390369058,rainier
[],0.898989081,magazine-montana-cola-lemon
[],0.449984401,rainier
[],0.877884984,magazine-montana-cola-lemon
[],0.371620089,magazine-montana-cola-lemon
[],0.941232264,rainier
[],0.562999606,magazine-montana-cola-lemon
[],0.562999606,magazine-montana-cola-lemon
[],0.591928661,rainier
[],0.807112932,magazine-montana-cola-lemon
[],0.67040211,rainier
[],0.988240898,rainier
[],0.131331652,rainier
['magazine-montana-cola-lemon'],0.425724,magazine-montana-cola-lemon
[],0.563396811,rainier
[],0.790303349,magazine-montana-cola-lemon
['magazine-montana-cola-lemon'],0.398041308,rainier
['magazine-montana-cola-lemon'],0.890871882,magazine-montana-cola-lemon
[],0.574559033,magazine-montana-cola-lemon
[],0.209043443,rainier
[],0.690509737,magazine-montana-cola-lemon
[],0.910013378,rainier
[],0.815341592,magazine-montana-cola-lemon
[],0.776810825,rainier
[],0.390369058,magazine-montana-cola-lemon
[],0.65080446,rainier
[],0.616225243,rainier
[],0.339596242,magazine-montana-cola-lemon
[],0.049394879,magazine-montana-cola-lemon
[],0.75172466,magazine-montana-cola-lemon
[],0.289685369,magazine-montana-cola-lemon
[],0.509061694,rainier
[],0.334111243,rainier
[],0.666218758,magazine-montana-cola-lemon
[],0.89892596,rainier
[],0.973623037,magazine-montana-cola-lemon
[],0.717706442,rainier
[],0.35401848,magazine-montana-cola-lemon
[],0.898548067,rainier
[],0.934578478,magazine-montana-cola-lemon
[],0.67040211,rainier
['maine-william-princess-jersey'],0.851485252,magazine-montana-cola-lemon
[],0.859859943,rainier
[],0.848347962,magazine-montana-cola-lemon
[],0.946400881,magazine-montana-cola-lemon
[],0.563396811,rainier
[],0.333194911,magazine-montana-cola-lemon
[],0.995600224,rainier
[],0.596778393,magazine-montana-cola-lemon
"['harry-hotel-lake-magnesium', 'maine-william-princess-jersey']",0.950393736,rainier
[],0.992790639,magazine-montana-cola-lemon
[],0.813010931,magazine-montana-cola-lemon
['maine-william-princess-jersey'],0.238071889,magazine-montana-cola-lemon
['maine-william-princess-jersey'],0.339062244,rainier
[],0.949469209,magazine-montana-cola-lemon
[],0.531975627,magazine-montana-cola-lemon
[],0.673796117,rainier
[],0.563396811,magazine-montana-cola-lemon
[],0.8007406,magazine-montana-cola-lemon
[],0.165971428,magazine-montana-cola-lemon
[],0.059435576,rainier
[],0.345098227,rainier
[],0.78416568,rainier
[],0.497546762,magazine-montana-cola-lemon
[],0.701082289,magazine-montana-cola-lemon
[],0.563396811,rainier
['harry-hotel-lake-magnesium'],0.660031676,magazine-montana-cola-lemon
[],0.657933593,magazine-montana-cola-lemon
[],0.184262335,rainier
['washington-spaghetti-mike-nebraska'],0.817600966,rainier
['washington-spaghetti-mike-nebraska'],0.765230477,magazine-montana-cola-lemon
['washington-spaghetti-mike-nebraska'],0.922095239,rainier
[],0.805318236,magazine-montana-cola-lemon
[],0.777235806,magazine-montana-cola-lemon
[],0.41771093,rainier
[],0.372946918,magazine-montana-cola-lemon
[],0.992016673,rainier
[],0.015158416,magazine-montana-cola-lemon
[],0.540299058,magazine-montana-cola-lemon
[],0.43968457,rainier
[],0.821163893,magazine-montana-cola-lemon
[],0.477433711,magazine-montana-cola-lemon
[],0.909053445,rainier
[],0.012486407,magazine-montana-cola-lemon
[],0.387964666,magazine-montana-cola-lemon
[],0.247913942,rainier
[],0.005952036,magazine-montana-cola-lemon
['rainier'],0.563396811,magazine-montana-cola-lemon
[],0.430924773,rainier
['rainier'],0.48562631,magazine-montana-cola-lemon
[],0.27979669,rainier
[],0.647471309,magazine-montana-cola-lemon
[],0.467725426,rainier
[],0.512199759,magazine-montana-cola-lemon
[],0.504756689,rainier
[],0.730439425,magazine-montana-cola-lemon
[],0.503693044,rainier
[],0.742954075,magazine-montana-cola-lemon
[],0.187677354,rainier
[],0.886389434,magazine-montana-cola-lemon
[],0.894258022,magazine-montana-cola-lemon
[],0.91823256,rainier
[],0.972770631,magazine-montana-cola-lemon
[],0.723708749,magazine-montana-cola-lemon
[],0.682087958,rainier
[],0.945904136,rainier
[],0.981998503,rainier
['river-oranges-jersey-cup'],0.067437798,magazine-montana-cola-lemon
[],0.904755592,magazine-montana-cola-lemon
['river-oranges-jersey-cup'],0.546997607,rainier
[],0.871690094,rainier
[],0.392604947,magazine-montana-cola-lemon
[],0.563396811,rainier
['rainier'],0.058766294,magazine-montana-cola-lemon
[],0.941652715,rainier
[],0.50974679,rainier
[],0.890884101,magazine-montana-cola-lemon
[],0.438769639,magazine-montana-cola-lemon
[],0.597528517,magazine-montana-cola-lemon
[],0.588384509,rainier
[],0.486397147,magazine-montana-cola-lemon
[],0.849012375,rainier
[],0.563396811,magazine-montana-cola-lemon
[],0.563396811,rainier
['river-oranges-jersey-cup'],0.615719795,magazine-montana-cola-lemon
[],0.895884216,rainier
[],0.746191025,rainier
[],0.632418096,magazine-montana-cola-lemon
[],0.197680816,magazine-montana-cola-lemon
['river-oranges-jersey-cup'],0.751448154,rainier
[],0.480183005,magazine-montana-cola-lemon
['rainier'],0.143604547,magazine-montana-cola-lemon
[],0.918486536,magazine-montana-cola-lemon
[],0.051884789,rainier
[],0.519281387,magazine-montana-cola-lemon
['maine-william-princess-jersey'],None,rainier
[],None,rainier
[],0.290324748,magazine-montana-cola-lemon
['river-oranges-jersey-cup'],0.05868556,magazine-montana-cola-lemon
['river-oranges-jersey-cup'],0.06557595,rainier
[],0.980406702,rainier
['river-oranges-jersey-cup'],0.528707027,magazine-montana-cola-lemon
[],0.499043137,rainier
[],0.364983499,rainier
[],0.563396811,rainier
[],0.960303009,magazine-montana-cola-lemon
[],0.061198954,magazine-montana-cola-lemon
[],0.621450007,magazine-montana-cola-lemon
[],0.789541543,rainier
[],0.467524618,rainier
[],0.782566369,magazine-montana-cola-lemon
[],0.641367435,rainier
[],0.490794569,magazine-montana-cola-lemon
[],0.026287016,rainier
[],0.936736286,rainier
[],0.604013026,rainier
['maine-william-princess-jersey'],0.765520573,rainier
[],0.976545215,magazine-montana-cola-lemon
[],0.075490803,rainier
[],0.27979669,rainier
[],0.430012375,magazine-montana-cola-lemon
[],0.127164617,magazine-montana-cola-lemon
[],0.016005782,rainier
[],0.239861116,magazine-montana-cola-lemon
[],0.941652715,magazine-montana-cola-lemon
['seven-pip-pizza-cola'],0.172080666,rainier
[],0.260001987,rainier
[],0.563396811,rainier
[],0.813252747,magazine-montana-cola-lemon
[],0.798995078,magazine-montana-cola-lemon
[],0.542367101,magazine-montana-cola-lemon
[],0.169831187,rainier
['maine-william-princess-jersey'],0.508220494,rainier
[],0.073219292,magazine-montana-cola-lemon
[],0.080078363,magazine-montana-cola-lemon
[],0.941652715,magazine-montana-cola-lemon
[],0.939608693,rainier
[],0.331805974,magazine-montana-cola-lemon
[],0.898633361,magazine-montana-cola-lemon
['maine-william-princess-jersey'],0.973992705,rainier
[],0.351545274,magazine-montana-cola-lemon
[],0.935222805,magazine-montana-cola-lemon
[],0.827057898,rainier
[],0.354697108,magazine-montana-cola-lemon
['bluebird-fish-lamp-edward'],0.148724735,rainier
[],0.968009174,magazine-montana-cola-lemon
[],0.06155695,magazine-montana-cola-lemon
[],0.081747614,rainier
[],0.586245656,magazine-montana-cola-lemon
[],0.396536708,magazine-montana-cola-lemon
[],0.075796358,rainier
[],0.292865485,rainier
[],0.730462193,magazine-montana-cola-lemon
[],0.563396811,rainier
[],0.583182454,magazine-montana-cola-lemon
[],0.720519304,rainier
['king-sink-early-nebraska'],0.521571815,magazine-montana-cola-lemon
['king-sink-early-nebraska'],0.7207039,rainier
[],0.440619767,rainier
['river-oranges-jersey-cup'],0.671762347,magazine-montana-cola-lemon
['river-oranges-jersey-cup'],0.047179259,rainier
[],0.073402673,magazine-montana-cola-lemon
[],0.429775,rainier
[],0.041955147,magazine-montana-cola-lemon
[],0.763624728,rainier
[],0.709889889,magazine-montana-cola-lemon
[],0.601045609,rainier
[],0.619637907,magazine-montana-cola-lemon
['black-purple-butter-robin'],0.540807307,magazine-montana-cola-lemon
[],0.365386754,magazine-montana-cola-lemon
[],0.206721678,rainier
[],0.204445392,magazine-montana-cola-lemon
"['bluebird-fish-lamp-edward', 'river-oranges-jersey-cup', 'video-artist-maryland-six']",0.527023256,rainier
[],0.270151734,magazine-montana-cola-lemon
[],0.574388146,rainier
[],0.149640784,magazine-montana-cola-lemon
[],0.741724193,rainier
[],0.338826239,magazine-montana-cola-lemon
[],0.117166728,magazine-montana-cola-lemon
['whiskey-steak-papa-golf'],0.921620965,magazine-montana-cola-lemon
[],0.085613109,rainier
['whiskey-steak-papa-golf'],0.372915804,magazine-montana-cola-lemon
"['seven-low-delaware-pluto', 'bluebird-fish-lamp-edward', 'whiskey-steak-papa-golf', 'river-oranges-jersey-cup', 'video-artist-maryland-six', 'rainier']",0.309643239,rainier
[],0.4906075,rainier
[],0.056778088,magazine-montana-cola-lemon
[],0.078801759,magazine-montana-cola-lemon
[],0.067540057,magazine-montana-cola-lemon
['magazine-montana-cola-lemon'],0.510536551,rainier
[],0.967308342,magazine-montana-cola-lemon
[],0.777235806,rainier
[],0.652296245,rainier
[],0.652296245,magazine-montana-cola-lemon
[],0.777235806,magazine-montana-cola-lemon
[],0.777235806,rainier
[],0.358617932,magazine-montana-cola-lemon
[],0.989660323,rainier
['river-oranges-jersey-cup'],0.411254138,magazine-montana-cola-lemon
[],0.924444199,rainier
[],0.769376874,magazine-montana-cola-lemon
[],0.478718519,magazine-montana-cola-lemon
[],0.671417892,rainier
[],0.534932673,rainier
[],0.88023144,rainier
[],0.979716778,rainier
[],0.644352853,magazine-montana-cola-lemon
[],0.290203601,rainier
[],0.205065057,magazine-montana-cola-lemon
[],0.519352615,rainier
[],0.991177917,magazine-montana-cola-lemon
[],0.984845757,magazine-montana-cola-lemon
[],0.052145805,rainier
[],0.969002426,rainier
[],0.746462703,magazine-montana-cola-lemon
[],0.407738119,magazine-montana-cola-lemon
[],0.597418666,rainier
[],0.244376108,magazine-montana-cola-lemon
[],0.04678189,magazine-montana-cola-lemon
[],0.796583176,magazine-montana-cola-lemon
[],0.100311302,rainier
[],0.359006286,rainier
[],0.933490098,magazine-montana-cola-lemon
[],0.088278279,magazine-montana-cola-lemon
[],0.53202647,rainier
[],0.556790709,magazine-montana-cola-lemon
[],0.046460662,rainier
[],0.058477126,magazine-montana-cola-lemon
[],0.53202647,rainier
[],0.013168021,rainier
[],0.452110559,magazine-montana-cola-lemon
[],0.104003474,rainier
[],0.172492072,magazine-montana-cola-lemon
"['harry-hotel-lake-magnesium', 'magazine-montana-cola-lemon']",0.846208036,rainier
[],0.179643646,rainier
[],0.920682192,magazine-montana-cola-lemon
[],0.563396811,rainier
['magazine-montana-cola-lemon'],0.487618595,rainier
